"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","13","7","0","17","2.2","6.7","16.118","1.245","61.637","38.249"
"11","13","8","3","74","2.8","6.2","75.904","2.853","287.821","260.029"
"11","13","9","99","132","2.8","7.7","202.66","4.83","755.721","717.434"
"11","13","10","0","102","3.9","7.7","98.324","4.476","370.863","341.345"
"11","13","11","3","188","3.3","7.2","190.898","5.259","717.555","680.193"
"11","13","12","1","173","2.8","7.7","172.742","4.486","651.508","615.719"
"11","13","13","5","188","2.8","7.2","193.44","4.874","728.235","690.616"
"11","13","14","5","119","2.2","7.7","120.296","3.092","456.143","424.791"
"11","13","15","2","84","2.8","5.7","84.129","3.149","318.884","290.453"
"11","13","16","1","29","2.8","5.7","28.336","2.078","107.758","83.508"
"11","13","17","0","1","2.8","4.6","0.97","1.312","3.708","0"
"11","13","18","0","0","1.7","5.7","0","1.7","0","0"
"11","13","19","0","0","1.1","4.1","0","1.1","0","0"
"11","13","20","0","0","1.7","4.1","0","1.7","0","0"
"11","13","21","0","0","1.7","4.1","0","1.7","0","0"
"11","13","22","0","0","2.2","7.7","0","2.2","0","0"
"11","13","23","0","0","3.3","7.2","0","3.3","0","0"
"11","14","0","0","0","5","9.3","0","5","0","0"
"11","14","1","0","0","6.1","9.3","0","6.1","0","0"
"11","14","2","0","0","6.7","8.2","0","6.7","0","0"
"11","14","3","0","0","5.6","14.4","0","5.6","0","0"
"11","14","4","0","0","2.8","8.2","0","2.8","0","0"
"11","14","5","0","0","2.2","9.3","0","2.2","0","0"
"11","14","6","0","0","1.7","9.3","0","1.7","0","0"
"11","14","7","0","20","1.1","5.7","19.346","0.088","74.344","50.721"
"11","14","8","1","81","1.7","6.7","83.746","1.882","319.232","290.794"
"11","14","9","0","168","1.7","5.2","175.491","3.773","663.918","627.837"
"11","14","10","2","215","1.7","5.2","223.962","4.854","843.303","802.844"
"11","14","11","2","230","1.1","6.7","237.575","4.056","897.663","855.823"
"11","14","12","1","256","1.7","6.2","266.275","5.33","1000.649","956.123"
"11","14","13","1","230","1.1","6.7","238.772","4.124","901.936","859.987"
"11","14","14","0","189","0","6.2","196.597","2.416","748.079","709.978"
"11","14","15","1","113","0.6","7.2","117.34","1.487","448.137","416.959"
"11","14","16","33","38","0","5.7","50.488","-0.282","187.016","161.241"
"11","14","17","1","1","-1.1","6.2","1.128","-2.315","4.134","0"
"11","14","18","0","0","-1.7","6.2","0","-1.7","0","0"
"11","14","19","0","0","-2.2","4.1","0","-2.2","0","0"
"11","14","20","0","0","-2.2","4.6","0","-2.2","0","0"
"11","14","21","0","0","-1.7","5.7","0","-1.7","0","0"
"11","14","22","0","0","-2.2","6.2","0","-2.2","0","0"
"11","14","23","0","0","-2.8","5.7","0","-2.8","0","0"
"11","15","0","0","0","-2.2","6.2","0","-2.2","0","0"
"11","15","1","0","0","-1.7","5.2","0","-1.7","0","0"
